(base) jupyter-st125462@puffer:~/RTML/A5$ python face_gan_celeba.py
2025-03-09 16:44:19,039 - FaceGAN - INFO - Using device: cuda
2025-03-09 16:44:19,077 - FaceGAN - INFO - CUDA is available. Using GPU: NVIDIA GeForce RTX 2080 Ti
2025-03-09 16:44:19,077 - FaceGAN - INFO - Starting Face GAN training...
2025-03-09 16:44:19,196 - FaceGAN - INFO - Found 202599 images in ./data/celeba/img_align_celeba
2025-03-09 16:44:19,196 - FaceGAN - INFO - CelebA dataset loaded successfully with 202599 images
2025-03-09 16:44:59,760 - FaceGAN - INFO - D(x): 0.5617, D(G(z)): 0.1894
2025-03-09 16:45:05,442 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [800/1583]
2025-03-09 16:45:05,442 - FaceGAN - INFO - Discriminator Loss: 1.2925, Generator Loss: 1.8481
2025-03-09 16:45:05,442 - FaceGAN - INFO - D(x): 0.5867, D(G(z)): 0.1501
2025-03-09 16:45:11,185 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [900/1583]
2025-03-09 16:45:11,185 - FaceGAN - INFO - Discriminator Loss: 1.4174, Generator Loss: 1.1607
2025-03-09 16:45:11,185 - FaceGAN - INFO - D(x): 0.4634, D(G(z)): 0.3049
2025-03-09 16:45:16,969 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1000/1583]
2025-03-09 16:45:16,969 - FaceGAN - INFO - Discriminator Loss: 1.2883, Generator Loss: 1.3478
2025-03-09 16:45:16,969 - FaceGAN - INFO - D(x): 0.6631, D(G(z)): 0.2651
2025-03-09 16:45:22,596 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1100/1583]
2025-03-09 16:45:22,596 - FaceGAN - INFO - Discriminator Loss: 1.4138, Generator Loss: 1.5254
2025-03-09 16:45:22,596 - FaceGAN - INFO - D(x): 0.6001, D(G(z)): 0.2183
2025-03-09 16:45:28,383 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1200/1583]
2025-03-09 16:45:28,383 - FaceGAN - INFO - Discriminator Loss: 1.3543, Generator Loss: 1.1481
2025-03-09 16:45:28,383 - FaceGAN - INFO - D(x): 0.4473, D(G(z)): 0.3032
2025-03-09 16:45:34,079 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1300/1583]
2025-03-09 16:45:34,079 - FaceGAN - INFO - Discriminator Loss: 1.3694, Generator Loss: 1.2273
2025-03-09 16:45:34,080 - FaceGAN - INFO - D(x): 0.4673, D(G(z)): 0.2893
2025-03-09 16:45:39,848 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1400/1583]
2025-03-09 16:45:39,848 - FaceGAN - INFO - Discriminator Loss: 1.2642, Generator Loss: 1.1365
2025-03-09 16:45:39,848 - FaceGAN - INFO - D(x): 0.4981, D(G(z)): 0.3157
2025-03-09 16:45:45,629 - FaceGAN - INFO - Epoch: [0/50], Batch Num: [1500/1583]
2025-03-09 16:45:45,629 - FaceGAN - INFO - Discriminator Loss: 1.3573, Generator Loss: 1.0901
2025-03-09 16:45:45,629 - FaceGAN - INFO - D(x): 0.4045, D(G(z)): 0.3310
2025-03-09 16:45:50,538 - FaceGAN - INFO - Models saved at epoch 0
2025-03-09 16:45:50,539 - FaceGAN - INFO - Epoch 0 completed in 91.07 seconds
2025-03-09 17:30:40,717 - FaceGAN - INFO - Epoch: [28/50], Batch Num: [1400/1583]
2025-03-09 17:30:40,717 - FaceGAN - INFO - Discriminator Loss: 0.5182, Generator Loss: 2.5327
2025-03-09 17:30:40,717 - FaceGAN - INFO - D(x): 0.7797, D(G(z)): 0.0833
2025-03-09 17:30:46,846 - FaceGAN - INFO - Epoch: [28/50], Batch Num: [1500/1583]
2025-03-09 17:30:46,846 - FaceGAN - INFO - Discriminator Loss: 0.5852, Generator Loss: 2.8203
2025-03-09 17:30:46,846 - FaceGAN - INFO - D(x): 0.7664, D(G(z)): 0.0562
2025-03-09 17:30:52,006 - FaceGAN - INFO - Epoch 28 completed in 97.56 seconds
2025-03-09 17:30:52,372 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [0/1583]
2025-03-09 17:30:52,373 - FaceGAN - INFO - Discriminator Loss: 0.5519, Generator Loss: 2.4731
2025-03-09 17:30:52,373 - FaceGAN - INFO - D(x): 0.6976, D(G(z)): 0.0868
2025-03-09 17:30:58,408 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [100/1583]
2025-03-09 17:30:58,409 - FaceGAN - INFO - Discriminator Loss: 0.5584, Generator Loss: 3.7824
2025-03-09 17:30:58,409 - FaceGAN - INFO - D(x): 0.8730, D(G(z)): 0.0202
2025-03-09 17:31:04,545 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [200/1583]
2025-03-09 17:31:04,546 - FaceGAN - INFO - Discriminator Loss: 0.7538, Generator Loss: 3.5396
2025-03-09 17:31:04,546 - FaceGAN - INFO - D(x): 0.9191, D(G(z)): 0.0255
2025-03-09 17:31:10,611 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [300/1583]
2025-03-09 17:31:10,611 - FaceGAN - INFO - Discriminator Loss: 0.9662, Generator Loss: 1.5030
2025-03-09 17:31:10,611 - FaceGAN - INFO - D(x): 0.4181, D(G(z)): 0.2339
2025-03-09 17:31:16,722 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [400/1583]
2025-03-09 17:31:16,722 - FaceGAN - INFO - Discriminator Loss: 0.6149, Generator Loss: 2.8341
2025-03-09 17:31:16,722 - FaceGAN - INFO - D(x): 0.8641, D(G(z)): 0.0535
2025-03-09 17:31:22,838 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [500/1583]
2025-03-09 17:31:22,838 - FaceGAN - INFO - Discriminator Loss: 0.5462, Generator Loss: 2.8105
2025-03-09 17:31:22,838 - FaceGAN - INFO - D(x): 0.7944, D(G(z)): 0.0583
2025-03-09 17:31:28,971 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [600/1583]
2025-03-09 17:31:28,971 - FaceGAN - INFO - Discriminator Loss: 0.6987, Generator Loss: 1.4948
2025-03-09 17:31:28,971 - FaceGAN - INFO - D(x): 0.5798, D(G(z)): 0.2405
2025-03-09 17:31:35,023 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [700/1583]
2025-03-09 17:31:35,024 - FaceGAN - INFO - Discriminator Loss: 0.7874, Generator Loss: 4.3768
2025-03-09 17:31:35,024 - FaceGAN - INFO - D(x): 0.9288, D(G(z)): 0.0101
2025-03-09 17:31:41,161 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [800/1583]
2025-03-09 17:31:41,161 - FaceGAN - INFO - Discriminator Loss: 0.8026, Generator Loss: 1.9649
2025-03-09 17:31:41,161 - FaceGAN - INFO - D(x): 0.5224, D(G(z)): 0.1450
2025-03-09 17:31:47,253 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [900/1583]
2025-03-09 17:31:47,254 - FaceGAN - INFO - Discriminator Loss: 0.5284, Generator Loss: 2.9316
2025-03-09 17:31:47,254 - FaceGAN - INFO - D(x): 0.7923, D(G(z)): 0.0504
2025-03-09 17:31:53,399 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1000/1583]
2025-03-09 17:31:53,399 - FaceGAN - INFO - Discriminator Loss: 0.9166, Generator Loss: 3.5491
2025-03-09 17:31:53,400 - FaceGAN - INFO - D(x): 0.9275, D(G(z)): 0.0258
2025-03-09 17:31:59,524 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1100/1583]
2025-03-09 17:31:59,524 - FaceGAN - INFO - Discriminator Loss: 0.7251, Generator Loss: 1.4444
2025-03-09 17:31:59,524 - FaceGAN - INFO - D(x): 0.5472, D(G(z)): 0.2499
2025-03-09 17:32:05,649 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1200/1583]
2025-03-09 17:32:05,649 - FaceGAN - INFO - Discriminator Loss: 1.1622, Generator Loss: 0.6336
2025-03-09 17:32:05,649 - FaceGAN - INFO - D(x): 0.3438, D(G(z)): 0.5794
2025-03-09 17:32:11,766 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1300/1583]
2025-03-09 17:32:11,766 - FaceGAN - INFO - Discriminator Loss: 0.4983, Generator Loss: 3.3104
2025-03-09 17:32:11,766 - FaceGAN - INFO - D(x): 0.8904, D(G(z)): 0.0347
2025-03-09 17:32:17,893 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1400/1583]
2025-03-09 17:32:17,894 - FaceGAN - INFO - Discriminator Loss: 0.7966, Generator Loss: 1.7225
2025-03-09 17:32:17,894 - FaceGAN - INFO - D(x): 0.6109, D(G(z)): 0.1796
2025-03-09 17:32:24,014 - FaceGAN - INFO - Epoch: [29/50], Batch Num: [1500/1583]
2025-03-09 17:32:24,014 - FaceGAN - INFO - Discriminator Loss: 0.9411, Generator Loss: 1.2369
2025-03-09 17:32:24,014 - FaceGAN - INFO - D(x): 0.4440, D(G(z)): 0.2982
2025-03-09 17:32:29,161 - FaceGAN - INFO - Epoch 29 completed in 97.15 seconds
2025-03-09 17:32:29,538 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [0/1583]
2025-03-09 17:32:29,539 - FaceGAN - INFO - Discriminator Loss: 0.5908, Generator Loss: 3.4667
2025-03-09 17:32:29,539 - FaceGAN - INFO - D(x): 0.8893, D(G(z)): 0.0261
2025-03-09 17:32:35,714 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [100/1583]
2025-03-09 17:32:35,714 - FaceGAN - INFO - Discriminator Loss: 0.8186, Generator Loss: 3.7615
2025-03-09 17:32:35,715 - FaceGAN - INFO - D(x): 0.9533, D(G(z)): 0.0183
2025-03-09 17:32:41,833 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [200/1583]
2025-03-09 17:32:41,833 - FaceGAN - INFO - Discriminator Loss: 0.5383, Generator Loss: 2.3546
2025-03-09 17:32:41,833 - FaceGAN - INFO - D(x): 0.7824, D(G(z)): 0.0972
2025-03-09 17:32:47,981 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [300/1583]
2025-03-09 17:32:47,981 - FaceGAN - INFO - Discriminator Loss: 0.8003, Generator Loss: 4.4207
2025-03-09 17:32:47,981 - FaceGAN - INFO - D(x): 0.9360, D(G(z)): 0.0097
2025-03-09 17:32:54,014 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [400/1583]
2025-03-09 17:32:54,014 - FaceGAN - INFO - Discriminator Loss: 0.4592, Generator Loss: 2.6188
2025-03-09 17:32:54,015 - FaceGAN - INFO - D(x): 0.8225, D(G(z)): 0.0739
2025-03-09 17:33:00,088 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [500/1583]
2025-03-09 17:33:00,088 - FaceGAN - INFO - Discriminator Loss: 1.1411, Generator Loss: 1.1646
2025-03-09 17:33:00,088 - FaceGAN - INFO - D(x): 0.5224, D(G(z)): 0.3197
2025-03-09 17:33:06,165 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [600/1583]
2025-03-09 17:33:06,166 - FaceGAN - INFO - Discriminator Loss: 0.8307, Generator Loss: 3.3736
2025-03-09 17:33:06,166 - FaceGAN - INFO - D(x): 0.9341, D(G(z)): 0.0307
2025-03-09 17:33:12,320 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [700/1583]
2025-03-09 17:33:12,321 - FaceGAN - INFO - Discriminator Loss: 0.6259, Generator Loss: 2.9523
2025-03-09 17:33:12,321 - FaceGAN - INFO - D(x): 0.7953, D(G(z)): 0.0493
2025-03-09 17:33:18,465 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [800/1583]
2025-03-09 17:33:18,465 - FaceGAN - INFO - Discriminator Loss: 0.7811, Generator Loss: 3.5060
2025-03-09 17:33:18,465 - FaceGAN - INFO - D(x): 0.8846, D(G(z)): 0.0282
2025-03-09 17:33:24,632 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [900/1583]
2025-03-09 17:33:24,632 - FaceGAN - INFO - Discriminator Loss: 0.5346, Generator Loss: 3.2821
2025-03-09 17:33:24,632 - FaceGAN - INFO - D(x): 0.8401, D(G(z)): 0.0338
2025-03-09 17:33:30,707 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1000/1583]
2025-03-09 17:33:30,707 - FaceGAN - INFO - Discriminator Loss: 0.4546, Generator Loss: 3.4401
2025-03-09 17:33:30,707 - FaceGAN - INFO - D(x): 0.7984, D(G(z)): 0.0325
2025-03-09 17:33:36,866 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1100/1583]
2025-03-09 17:33:36,867 - FaceGAN - INFO - Discriminator Loss: 0.5055, Generator Loss: 3.7626
2025-03-09 17:33:36,867 - FaceGAN - INFO - D(x): 0.9305, D(G(z)): 0.0197
2025-03-09 17:33:43,018 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1200/1583]
2025-03-09 17:33:43,019 - FaceGAN - INFO - Discriminator Loss: 0.5845, Generator Loss: 2.9302
2025-03-09 17:33:43,019 - FaceGAN - INFO - D(x): 0.7683, D(G(z)): 0.0509
2025-03-09 17:33:49,157 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1300/1583]
2025-03-09 17:33:49,157 - FaceGAN - INFO - Discriminator Loss: 0.4805, Generator Loss: 3.2034
2025-03-09 17:33:49,158 - FaceGAN - INFO - D(x): 0.8568, D(G(z)): 0.0378
2025-03-09 17:33:55,292 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1400/1583]
2025-03-09 17:33:55,293 - FaceGAN - INFO - Discriminator Loss: 0.7360, Generator Loss: 2.5595
2025-03-09 17:33:55,293 - FaceGAN - INFO - D(x): 0.7935, D(G(z)): 0.0723
2025-03-09 17:34:01,380 - FaceGAN - INFO - Epoch: [30/50], Batch Num: [1500/1583]
2025-03-09 17:34:01,380 - FaceGAN - INFO - Discriminator Loss: 1.0127, Generator Loss: 3.4205
2025-03-09 17:34:01,380 - FaceGAN - INFO - D(x): 0.8186, D(G(z)): 0.0313
2025-03-09 17:34:06,512 - FaceGAN - INFO - Models saved at epoch 30
2025-03-09 17:34:06,513 - FaceGAN - INFO - Epoch 30 completed in 97.35 seconds
2025-03-09 17:34:06,945 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [0/1583]
2025-03-09 17:34:06,945 - FaceGAN - INFO - Discriminator Loss: 0.6557, Generator Loss: 2.1316
2025-03-09 17:34:06,945 - FaceGAN - INFO - D(x): 0.5787, D(G(z)): 0.1278
2025-03-09 17:34:13,059 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [100/1583]
2025-03-09 17:34:13,059 - FaceGAN - INFO - Discriminator Loss: 0.5809, Generator Loss: 2.6453
2025-03-09 17:34:13,059 - FaceGAN - INFO - D(x): 0.7977, D(G(z)): 0.0683
2025-03-09 17:34:19,081 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [200/1583]
2025-03-09 17:34:19,081 - FaceGAN - INFO - Discriminator Loss: 0.7797, Generator Loss: 1.1147
2025-03-09 17:34:19,081 - FaceGAN - INFO - D(x): 0.5333, D(G(z)): 0.3596
2025-03-09 17:34:25,098 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [300/1583]
2025-03-09 17:34:25,098 - FaceGAN - INFO - Discriminator Loss: 0.5424, Generator Loss: 3.5393
2025-03-09 17:34:25,098 - FaceGAN - INFO - D(x): 0.8726, D(G(z)): 0.0271
2025-03-09 17:34:31,147 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [400/1583]
2025-03-09 17:34:31,147 - FaceGAN - INFO - Discriminator Loss: 1.0941, Generator Loss: 3.2581
2025-03-09 17:34:31,147 - FaceGAN - INFO - D(x): 0.9343, D(G(z)): 0.0366
2025-03-09 17:34:37,168 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [500/1583]
2025-03-09 17:34:37,168 - FaceGAN - INFO - Discriminator Loss: 0.7264, Generator Loss: 1.3344
2025-03-09 17:34:37,168 - FaceGAN - INFO - D(x): 0.5535, D(G(z)): 0.2778
2025-03-09 17:34:43,182 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [600/1583]
2025-03-09 17:34:43,182 - FaceGAN - INFO - Discriminator Loss: 0.5996, Generator Loss: 1.7456
2025-03-09 17:34:43,182 - FaceGAN - INFO - D(x): 0.6926, D(G(z)): 0.1783
2025-03-09 17:34:49,193 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [700/1583]
2025-03-09 17:34:49,193 - FaceGAN - INFO - Discriminator Loss: 0.5060, Generator Loss: 2.0609
2025-03-09 17:34:49,193 - FaceGAN - INFO - D(x): 0.7410, D(G(z)): 0.1328
2025-03-09 17:34:55,101 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [800/1583]
2025-03-09 17:34:55,101 - FaceGAN - INFO - Discriminator Loss: 0.5519, Generator Loss: 2.2832
2025-03-09 17:34:55,101 - FaceGAN - INFO - D(x): 0.7168, D(G(z)): 0.0984
2025-03-09 17:35:01,007 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [900/1583]
2025-03-09 17:35:01,007 - FaceGAN - INFO - Discriminator Loss: 1.1550, Generator Loss: 1.0119
2025-03-09 17:35:01,007 - FaceGAN - INFO - D(x): 0.3595, D(G(z)): 0.3943
2025-03-09 17:35:06,920 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1000/1583]
2025-03-09 17:35:06,920 - FaceGAN - INFO - Discriminator Loss: 0.5663, Generator Loss: 2.0434
2025-03-09 17:35:06,920 - FaceGAN - INFO - D(x): 0.6895, D(G(z)): 0.1257
2025-03-09 17:35:12,912 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1100/1583]
2025-03-09 17:35:12,912 - FaceGAN - INFO - Discriminator Loss: 0.6095, Generator Loss: 2.1436
2025-03-09 17:35:12,912 - FaceGAN - INFO - D(x): 0.7302, D(G(z)): 0.1214
2025-03-09 17:35:18,814 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1200/1583]
2025-03-09 17:35:18,814 - FaceGAN - INFO - Discriminator Loss: 0.4938, Generator Loss: 3.2170
2025-03-09 17:35:18,814 - FaceGAN - INFO - D(x): 0.8918, D(G(z)): 0.0346
2025-03-09 17:35:24,710 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1300/1583]
2025-03-09 17:35:24,710 - FaceGAN - INFO - Discriminator Loss: 0.9441, Generator Loss: 3.4213
2025-03-09 17:35:24,710 - FaceGAN - INFO - D(x): 0.8500, D(G(z)): 0.0367
2025-03-09 17:35:30,687 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1400/1583]
2025-03-09 17:35:30,687 - FaceGAN - INFO - Discriminator Loss: 0.5277, Generator Loss: 3.7051
2025-03-09 17:35:30,687 - FaceGAN - INFO - D(x): 0.8647, D(G(z)): 0.0220
2025-03-09 17:35:36,724 - FaceGAN - INFO - Epoch: [31/50], Batch Num: [1500/1583]
2025-03-09 17:35:36,725 - FaceGAN - INFO - Discriminator Loss: 0.9758, Generator Loss: 4.1380
2025-03-09 17:35:36,725 - FaceGAN - INFO - D(x): 0.9283, D(G(z)): 0.0137
2025-03-09 17:35:41,807 - FaceGAN - INFO - Epoch 31 completed in 95.29 seconds
2025-03-09 17:35:42,186 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [0/1583]
2025-03-09 17:35:42,187 - FaceGAN - INFO - Discriminator Loss: 0.5080, Generator Loss: 2.7644
2025-03-09 17:35:42,187 - FaceGAN - INFO - D(x): 0.7024, D(G(z)): 0.0625
2025-03-09 17:35:48,240 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [100/1583]
2025-03-09 17:35:48,241 - FaceGAN - INFO - Discriminator Loss: 0.4674, Generator Loss: 3.4149
2025-03-09 17:35:48,241 - FaceGAN - INFO - D(x): 0.8834, D(G(z)): 0.0303
2025-03-09 17:35:54,278 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [200/1583]
2025-03-09 17:35:54,278 - FaceGAN - INFO - Discriminator Loss: 0.4660, Generator Loss: 3.2897
2025-03-09 17:35:54,278 - FaceGAN - INFO - D(x): 0.7983, D(G(z)): 0.0360
2025-03-09 17:36:00,306 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [300/1583]
2025-03-09 17:36:00,306 - FaceGAN - INFO - Discriminator Loss: 0.4663, Generator Loss: 2.7478
2025-03-09 17:36:00,306 - FaceGAN - INFO - D(x): 0.8125, D(G(z)): 0.0642
2025-03-09 17:36:06,361 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [400/1583]
2025-03-09 17:36:06,361 - FaceGAN - INFO - Discriminator Loss: 4.0592, Generator Loss: 5.2684
2025-03-09 17:36:06,361 - FaceGAN - INFO - D(x): 0.9866, D(G(z)): 0.0056
2025-03-09 17:36:12,425 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [500/1583]
2025-03-09 17:36:12,425 - FaceGAN - INFO - Discriminator Loss: 0.5891, Generator Loss: 3.0683
2025-03-09 17:36:12,425 - FaceGAN - INFO - D(x): 0.8251, D(G(z)): 0.0419
2025-03-09 17:36:18,454 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [600/1583]
2025-03-09 17:36:18,454 - FaceGAN - INFO - Discriminator Loss: 1.0192, Generator Loss: 1.3445
2025-03-09 17:36:18,454 - FaceGAN - INFO - D(x): 0.3960, D(G(z)): 0.2777
2025-03-09 17:36:24,493 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [700/1583]
2025-03-09 17:36:24,493 - FaceGAN - INFO - Discriminator Loss: 0.8201, Generator Loss: 4.7074
2025-03-09 17:36:24,493 - FaceGAN - INFO - D(x): 0.9484, D(G(z)): 0.0074
2025-03-09 17:36:30,538 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [800/1583]
2025-03-09 17:36:30,538 - FaceGAN - INFO - Discriminator Loss: 0.6481, Generator Loss: 2.2034
2025-03-09 17:36:30,538 - FaceGAN - INFO - D(x): 0.5944, D(G(z)): 0.1187
2025-03-09 17:36:36,549 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [900/1583]
2025-03-09 17:36:36,549 - FaceGAN - INFO - Discriminator Loss: 1.4205, Generator Loss: 5.2994
2025-03-09 17:36:36,549 - FaceGAN - INFO - D(x): 0.9602, D(G(z)): 0.0041
2025-03-09 17:36:42,577 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1000/1583]
2025-03-09 17:36:42,577 - FaceGAN - INFO - Discriminator Loss: 0.5145, Generator Loss: 3.6379
2025-03-09 17:36:42,577 - FaceGAN - INFO - D(x): 0.8586, D(G(z)): 0.0240
2025-03-09 17:36:48,577 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1100/1583]
2025-03-09 17:36:48,577 - FaceGAN - INFO - Discriminator Loss: 0.4501, Generator Loss: 3.0507
2025-03-09 17:36:48,577 - FaceGAN - INFO - D(x): 0.8649, D(G(z)): 0.0437
2025-03-09 17:36:54,616 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1200/1583]
2025-03-09 17:36:54,617 - FaceGAN - INFO - Discriminator Loss: 0.5743, Generator Loss: 3.5779
2025-03-09 17:36:54,617 - FaceGAN - INFO - D(x): 0.8661, D(G(z)): 0.0258
2025-03-09 17:37:00,654 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1300/1583]
2025-03-09 17:37:00,655 - FaceGAN - INFO - Discriminator Loss: 0.7565, Generator Loss: 3.5905
2025-03-09 17:37:00,655 - FaceGAN - INFO - D(x): 0.9386, D(G(z)): 0.0241
2025-03-09 17:37:06,578 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1400/1583]
2025-03-09 17:37:06,578 - FaceGAN - INFO - Discriminator Loss: 0.6004, Generator Loss: 1.4916
2025-03-09 17:37:06,578 - FaceGAN - INFO - D(x): 0.6627, D(G(z)): 0.2375
2025-03-09 17:37:12,620 - FaceGAN - INFO - Epoch: [32/50], Batch Num: [1500/1583]
2025-03-09 17:37:12,620 - FaceGAN - INFO - Discriminator Loss: 0.9363, Generator Loss: 4.3326
2025-03-09 17:37:12,621 - FaceGAN - INFO - D(x): 0.9473, D(G(z)): 0.0103
2025-03-09 17:37:17,691 - FaceGAN - INFO - Epoch 32 completed in 95.88 seconds
2025-03-09 17:37:18,091 - FaceGAN - INFO - Epoch: [33/50], Batch Num: [0/1583]
2025-03-09 17:37:18,091 - FaceGAN - INFO - Discriminator Loss: 0.7700, Generator Loss: 3.0485
2025-03-09 17:37:18,092 - FaceGAN - INFO - D(x): 0.7637, D(G(z)): 0.0447
2025-03-09 17:37:24,213 - FaceGAN - INFO - Epoch: [33/50], Batch Num: [100/1583]
2025-03-09 17:37:24,213 - FaceGAN - INFO - Discriminator Loss: 0.4579, Generator Loss: 2.6981
2025-03-09 17:37:24,213 - FaceGAN - INFO - D(x): 0.8074, D(G(z)): 0.0650
2025-03-09 17:37:30,235 - FaceGAN - INFO - Epoch: [33/50], Batch Num: [200/1583]
